"sku","description","title","price","weight(kg)","inactive","sale_price","product_discount","product_type","quantity"
1009,"Twill Weave Flannelette Sheet Sets","Top Drawer Twill Weave Flannelette Sheet Sets",120,3.5,0,"NULL","NULL","Physical",10
1010,"Fairydown Feather Cushion Inners","Fairydown Feather Cushion Inners",24.99,2,0,20.5,"NULL","Physical",10
1025,"Shoji Duvet Set","Shoji Duvet Set",79.95,2.5,0,75.5,"NULL","Physical",10
1026,"Zanibar - Charcoal & Chocolate Duvet Set","Zanibar - Charcoal & Chocolate Duvet Set",190,3,0,175.5,"NULL","Physical",10
1027,"Zanibar - Charcoal & Chocolate Duvet Extras","Zanibar - Charcoal & Chocolate Duvet Extras",100,1,0,"NULL","NULL","Physical",10
1039,"Alpaca Natural  Brushed Throw","Alpaca Natural  Brushed Throw by Master Weave",228,2,1,"NULL","NULL","Physical",10
1040,"Alpaca Natural Brushed Throw by Master Weave","Alpaca Natural Brushed Throw by Master Weave",228,2,1,"NULL","NULL","Physical",10
1041,"Alpaca Natural Brushed Throw by Master Weave","Alpaca Natural Brushed Throw by Master Weave",228,2,1,"NULL","NULL","Physical",10
1044,"UNDERBLANKETS","Lovely Old Fashioned Underblankets",39.99,1,1,"NULL","NULL","Physical",10
1045,"Luxury at its very best","Baksana Luxury 1000 Thread Count Sateen Sheets / Pillowcases Sold Separately",49,2,0,45.6,"NULL","Physical",10
1046,"Microfibre Blankets","Top Drawer Microfibre Blankets",99.99,3,0,80.5,"NULL","Physical",10
1047,"Nestledown Bedspread","Nestledown Cosmic Bedspread",102.95,2.5,0,"NULL","NULL","Physical",10
1049,"Nestledown Seabreeze Bedspread","Nestledown Seabreeze Bedspread",102.95,2.5,0,"NULL","NULL","Physical",10
1051,"Novadown Magnetic Underlay","Novadown Magnetic Underlay",290,4,1,"NULL","NULL","Physical",10
1052,"Reflections Luxury Towels","Reflections Luxury Towels",3,1,0,"NULL","NULL","Physical",10
1053,"Infant Care Rug","Infant Care Rug",100,1,1,"NULL","NULL","Physical",10
1060,"Bianca Lorenne Bloom Blue Comforter","Bianca Lorenne Bloom Blue Comforter",550,3,0,"NULL","NULL","Physical",10
1072,"Bianca Lorenne Finola Dove Grey Bedspread","Bianca Lorenne Finola Dove Grey Bedspread",930,3.5,1,"NULL","NULL","Physical",10
1073,"the essence of simple luxury in pure white textured stripes and waffle detail in 100% Cotton","Baksana - Waffle  Piquet  White Duvet Set",30,3,0,"NULL","NULL","Physical",10
1076,"Classic Sheepskin - Slipabout","Classic Sheepskin - Slipabout",64,1,0,"NULL","NULL","Physical",10
1077,"Sheridan Beach Towels","Sheridan Beach Towels",59.95,2,1,"NULL","NULL","Physical",10
1078,"Sheridan Jose Beach Towels","Sheridan Jose Beach Towels",49.95,2,1,"NULL","NULL","Physical",10
1079,"Classic Sheepskin - Thor Boot","Classic Sheepskin - Thor Boot",152,2,0,"NULL","NULL","Physical",10
1080,"Available in a choice of comfort levels to suit all types of sleepers.","Fairydown  - Blissfil Duck Feather & Down Pillow",99,3,0,"NULL","NULL","Physical",10
1083,"Refections Luxury Collection","Refections Luxury Collection",3,1,1,"NULL","NULL","Physical",10
1085,"Sheridan Smooth Range Sheet Sets","Sheridan Smooth Range Sheet Sets",266.45,2.5,1,"NULL","NULL","Physical",10
1086,"Sheridan  Palma Duvet Cover Set","Sheridan  Palma Duvet Cover Set",214.7,2.5,1,"NULL","NULL","Physical",10
1089,"Classic Sheepskin - Toasties","Classic Sheepskin - Toasties",36,1,0,"NULL","NULL","Physical",10
1091,"Fairydown - Blissfil Euro Feather & Down Pillows","Fairydown - Blissfil Euro Feather & Down Pillows",79.99,3,0,"NULL","NULL","Physical",10
1092,"Wool Blankets by Exquisite","Wool Blankets by Exquisite",259.99,1.5,0,"NULL","NULL","Physical",10
1093,"Wool Blankets by Exquisite","Wool Blankets by Exquisite",239,3,1,"NULL","NULL","Physical",10
1094,"Wool Blankets by Exquisite","Wool Blankets by Exquisite",239,3,1,"NULL","NULL","Physical",10
1100,"Kid Mohair Throws","Kid Mohair Throws",173,2,1,"NULL","NULL","Physical",10
1101,"New Zealand Made Windermere Mohair Knee Wraps","New Zealand Made Windermere Mohair Knee Wrap",165,2,0,"NULL","NULL","Physical",10
1102,"Paradiso - Anami","Paradiso - Anami",540,3.5,0,"NULL","NULL","Physical",10
1106,"Millie Lilac - Duvet Cover Set","Millie Lilac - Duvet Cover Set",102.4,2.5,0,100,"NULL","Physical",10
1109,"Wool Combination Duvet Inners","Wool Combination Duvet Inners",150,2.5,0,125.5,"NULL","Physical",10
1111,"Single Fleece Wool Underlay","Single Fleece Wool Underlay",50,2,0,"NULL","NULL","Physical",10
1112,"NZ Wool Blankets","NZ Wool Blankets",80,2,0,"NULL","NULL","Physical",10
1114,"Sheridan Beach Towels - Loma","Sheridan Beach Towels - Loma",59.95,1.5,1,55,"NULL","Physical",10
1115,"Sheridan Beach Towels - Loma","Sheridan Beach Towels - Loma",59.95,1.5,1,"NULL","NULL","Physical",10
1116,,"Sheridan - Lila Duvet Set",209.95,2,1,"NULL","NULL","Physical",10
1117,"Sheridan Beach Towels - Jose","Sheridan Beach Towels - Jose",49.95,1,1,"NULL","NULL","Physical",10
1118,"Sheridan Beach Towels - Dalia","Sheridan Beach Towels - Dalia",79.95,1,1,"NULL","NULL","Physical",10
1119,"Sheridan Jose Hoodie Towel","Sheridan Jose Hoodie Towel",39.95,1,1,"NULL","NULL","Physical",10
1120,"Sheridan Beach Towels - Pinto","Sheridan Beach Towels - Pinto",59.95,1.5,1,"NULL","NULL","Physical",10
